Datetime,Price
9-Oct-19,8607.5
8-Oct-19,8211.2
7-Oct-19,8227
6-Oct-19,7883.1
5-Oct-19,8162.5
4-Oct-19,8170
3-Oct-19,8257.9
2-Oct-19,8413.4
1-Oct-19,8334.9
30-Sep-19,8331.1
29-Sep-19,8090
28-Sep-19,8238.6
27-Sep-19,8213.4
26-Sep-19,8103.6
25-Sep-19,8474.7
24-Sep-19,8547.9
23-Sep-19,9702.6
22-Sep-19,10052
21-Sep-19,10013
20-Sep-19,10198
19-Sep-19,10301
18-Sep-19,10185
17-Sep-19,10214.1
16-Sep-19,10295
15-Sep-19,10322
14-Sep-19,10379
13-Sep-19,10374
12-Sep-19,10452
11-Sep-19,10175
10-Sep-19,10122
9-Sep-19,10318
8-Sep-19,10415
7-Sep-19,10488
6-Sep-19,10317
5-Sep-19,10578.7
4-Sep-19,10590
3-Sep-19,10641
2-Sep-19,10388
1-Sep-19,9779.1
31-Aug-19,9623.9
30-Aug-19,9601
29-Aug-19,9509
28-Aug-19,9727.4
27-Aug-19,10184
26-Aug-19,10377
25-Aug-19,10132
24-Aug-19,10152
23-Aug-19,10408
22-Aug-19,10117
21-Aug-19,10146
20-Aug-19,10793
19-Aug-19,10937
18-Aug-19,10327
17-Aug-19,10228
16-Aug-19,10366
15-Aug-19,10327
14-Aug-19,10067
13-Aug-19,10904
12-Aug-19,11404
11-Aug-19,11586
10-Aug-19,11314
9-Aug-19,11893
8-Aug-19,12060
7-Aug-19,11997
6-Aug-19,11471.2
5-Aug-19,11808
4-Aug-19,10973
3-Aug-19,10822
2-Aug-19,10519
1-Aug-19,10399
31-Jul-19,10088
30-Jul-19,9589
29-Jul-19,9507
28-Jul-19,9519
27-Jul-19,9465.7
26-Jul-19,9842.5
25-Jul-19,9890.1
24-Jul-19,9771
23-Jul-19,9854.9
22-Jul-19,10329
21-Jul-19,10569.4
20-Jul-19,10740
19-Jul-19,10519
18-Jul-19,10622
17-Jul-19,9683.2
16-Jul-19,9410
15-Jul-19,10820
14-Jul-19,10206.8
13-Jul-19,11312
12-Jul-19,11765
11-Jul-19,11340
10-Jul-19,12093
9-Jul-19,12553
8-Jul-19,12301
7-Jul-19,11486
6-Jul-19,11283
5-Jul-19,10998
4-Jul-19,11169
3-Jul-19,11984
2-Jul-19,10866
1-Jul-19,10639
30-Jun-19,10745
29-Jun-19,11921
28-Jun-19,12349
27-Jun-19,11200
26-Jun-19,12876
25-Jun-19,11751
24-Jun-19,11053
23-Jun-19,10916
22-Jun-19,10747.9
21-Jun-19,10236
20-Jun-19,9557.1
19-Jun-19,9305.9
18-Jun-19,9095.9
17-Jun-19,9356
16-Jun-19,8986
15-Jun-19,8856
14-Jun-19,8689.1
13-Jun-19,8227.4
12-Jun-19,8175.4
11-Jun-19,7904.1
10-Jun-19,8013.7
9-Jun-19,7639.2
8-Jun-19,7924.6
7-Jun-19,7991.5
6-Jun-19,7805.6
5-Jun-19,7789.3
4-Jun-19,7692.8
3-Jun-19,8103.4
2-Jun-19,8740
1-Jun-19,8547
31-May-19,8533.3
30-May-19,8269.9
29-May-19,8680.9
28-May-19,8740.9
27-May-19,8806
26-May-19,8729.9
25-May-19,8054.9
24-May-19,7994.9
23-May-19,7872.4
22-May-19,7621.1
21-May-19,7937
20-May-19,7985
19-May-19,8189.5
18-May-19,7260
17-May-19,7415.4
16-May-19,7857
15-May-19,8132.9
14-May-19,7958.3
13-May-19,7753.2
12-May-19,6979.9
11-May-19,7136.4
10-May-19,6438.7
9-May-19,6258.4
8-May-19,6201
7-May-19,6087.9
6-May-19,6027.9
5-May-19,6042
4-May-19,6098.3
3-May-19,6016
2-May-19,5723.8
1-May-19,5629.6
30-Apr-19,5599.5
29-Apr-19,5480.1
28-Apr-19,5486.8
27-Apr-19,5401.8
26-Apr-19,5410.8
25-Apr-19,5219
24-Apr-19,5480.3
23-Apr-19,5550.9
22-Apr-19,5417.8
21-Apr-19,5321.9
20-Apr-19,5340
19-Apr-19,5314
18-Apr-19,5310.8
17-Apr-19,5254.5
16-Apr-19,5234.3
15-Apr-19,5049.2
14-Apr-19,5194.3
13-Apr-19,5101.8
12-Apr-19,5114
11-Apr-19,5065.8
10-Apr-19,5311.7
